2026-06-16 13:52:46,951 | INFO     | src.fetcher | Processing 1/1: AAA
2026-06-16 13:53:50,459 | WARNING  | src.universe_builder | HI — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:53:51,577 | WARNING  | src.universe_builder | CSWI — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:53:52,807 | WARNING  | src.universe_builder | NVT — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:53:53,709 | WARNING  | src.universe_builder | TRMK — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:53:54,846 | WARNING  | src.universe_builder | DXPE — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:53:55,895 | WARNING  | src.universe_builder | CAT — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:53:57,308 | WARNING  | src.universe_builder | DE — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:53:58,154 | WARNING  | src.universe_builder | PCAR — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:53:59,257 | WARNING  | src.universe_builder | CMI — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:00,216 | WARNING  | src.universe_builder | DOV — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:01,300 | WARNING  | src.universe_builder | AOS — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:02,231 | WARNING  | src.universe_builder | ALLE — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:03,234 | WARNING  | src.universe_builder | MAS — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:04,524 | WARNING  | src.universe_builder | JCI — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:05,666 | WARNING  | src.universe_builder | LII — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:06,907 | WARNING  | src.universe_builder | PWR — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:08,056 | WARNING  | src.universe_builder | FAST — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
2026-06-16 13:54:09,160 | WARNING  | src.universe_builder | GWW — failed to fetch market cap: Too Many Requests. Rate limited. Try after a while.
